QID,LEN,Description or Summary,Start date,End date,Institutions/Partners,Affiliate/Organization,Region,Country,Main focal point,Main Activities,Wikimedia Projects Used,Audience,Level of Education,SDG4 Areas,Subject,Skills addressed,Funding,Evaluation,Case Study,Newsletter articles,Other documentation,Media,Number of pages created,Number of bytes added,Number of participants,Number of Influenced Policies
,University Program in Italy,"Course for students about how to contribute to Wikipedia and sister projects. Training new Wikipedians, developing skills and competences, collaborative production of free knowledge, and contributing to improving the quality of Wikipedia in italian.",1/1/2016,12/31/2020,"Different universities (Politecnico di Milano, Università degli studi di Padova, Università di Salerno, ...)",Wikimedia Italia,Southern Europe,Italy,Giovanna Ranci,"Editor Training, Digitization, Research, Translation","Wikipedia, Commons, (Wikidata, Wikiversity, Wikibooks)",Students,Higher Education,"Gender, OERs, Inclusion, Human Rights","Math, Science, Literature, Art, History, Language","digital literacy, global citizenship, information literacy, research",None,,https://www11.ceda.polimi.it/schedaincarico/schedaincarico/controller/scheda_pubblica/SchedaPublic.do?&evn_default=evento&c_classe=700094&__pj0=0&__pj1=660c080273f4ecf598cbc12e5f0aef1a; https://it.wikipedia.org/wiki/Progetto:Coordinamento/Universit%C3%A0/PoliMi/Scienza_e_tecnologia_per_tutti,in WMIT newsletter,"https://www.wikimedia.it/blog/, https://it.wikipedia.org/wiki/Progetto:Coordinamento/Universit%C3%A0",,,,,
,"Education, training and popularization project of Wikipedia in Azerbaijan","The main goal of this project is to promote Wikipedia movement in Azerbaijan and bring in more users, contributors and editor. For this pupose we organise trainings regularly. We try to give efficiently and suitably education for new users of wikipedia. After trainings we make movies in Youtube, we are organise WikiCamps, events for promote results of our work. We also organise events for awards of the project Wikipedia Monthly contest. ",1/1/2016,,Azerbaijan National Academy of Sciences,Azerbaijani Wikimedians,Western Asia,Azerbaijan,Gunay Najiyeva,"WikiClub, Editor Training, Teacher Training, WikiCamp, Digitization, Research, Translation, Partnerships, Photo expeditions","Wikipedia, Wikisource, Wikibooks, Commons ","Students, Teachers, Senior Citizens, Librarians","Vocational, Lifelong learning","Mother language, Education policy","Math, Science, Literature, Art, Photography, History, Language","collaboration, communication, critical thinking, information literacy, creativity, research",None,https://web.archive.org/web/20191004111650/https://www.moderator.az/news/291297.html,no,https://outreach.wikimedia.org/wiki/Education/News/September_2019/Students_learning_Wikipedia_editing_by_attending_Wikicamp_at_Nabran,https://www.youtube.com/watch?v=46_v3jzeSv0 ; https://www.youtube.com/watch?v=LgLHThao8zw ;  https://www.youtube.com/watch?v=8HDJ5oKg6UI ; https://www.youtube.com/watch?v=56uo2bbgexU ; https://www.youtube.com/watch?v=bUuTYKgMnLc ; https://www.youtube.com/watch?v=B1ppfX2tEAc ; https://www.youtube.com/watch?v=Y2TYPY48nPI ;  https://www.youtube.com/watch?v=uQQDPIcGiaY,,,,,
,#LaboratorioWikimedia,A bi-weekly open workshop to work on open information and audiovisual sciences integrating contents about these on Wikipedia and exploring other projects such as Commons or Wikidata and what they mean for these fields of knowledge and creative expression.,11/21/2018,06/19/2019,Media-Lab Prado,Wikimedia España,Western Europe,Spain,"Florencia Claes, PhD",Editor Training,"Wikipedia, Wikimedia Commons, Wikidata",students,Higher Education,,"Information sciences, Audiovisual sciences","Digital literacy, collaboration",,,,,https://blog.wikimedia.es/2018/11/laboratorio-wikimedia-se-dedicara-a-las-ciencias-de-la-informacion-y-el-audiovisual-libre-en-medialab-prado/,,,,,
,El lugar de las palabras ,"Collaboration with the ""proyecto 1914-2014"" to edit and experiment on Wiktionary and Wikimedia Commons. It addresses the practica task to add as many forgotten words in dictionary as possible. This includes the morphology, meaning, and pronunciation of words.",05/11/2018,05/12/2018,"MUSAC (León), proyecto 1914-2014",Wikimedia España,Western Europe,Spain,,Editor Training,Wiktionary,All,All,,Language,Collaboration,,,,,https://blog.wikimedia.es/2018/04/el-lugar-de-las-palabras-en-wikcionario/,,,,,
,Talleres de Wikipedia,Workshops and training courses to promote the use of Wikipedia and other Wikimedia projects in the classroom. ,2012,Ongoing,Universidad de Valladolid,Wikimedia España,Western Europe,Spain,Rubén Ojeda,Editor Training,Wikipedia,"students, teachers",Higher Education,,,"Digital literacy, collaboration",,,,,https://blog.wikimedia.es/2018/02/talleres-de-wikipedia-en-la-universidad-de-valladolid/,,,,,
,UCAc2,"Students of the ""Multimedia and Animation Tools"" course develop animations that help to improve the understanding of concepts presented on Wikipedia. ",2012,2017,Universidad de Cádiz,Wikimedia España,Western Europe,Spain,"Lorena Gutiérrez Madroñal, Manuel Palomo Duarte","Editor Training, Media Development","Wikimedia Commons, Wikipedia",students,Higher Education,,Advertisement and Public Relations,"Digital literacy, audiovisual production",,,,,https://blog.wikimedia.es/2017/12/creacion-audiovisual-en-wikimedia-commons-mas-alla-de-la-fotografia/,,,,,
,Aprendices de traducción de la Wikipedia,"As part of the Translation and Interpretation course of the Universidad Jaime I, students are translating or improving Wikipedia articles related to movies and cinema. This project is connected to the Universidad Jaime I E-translating project.",2011,2019 (but might be ongoing),Universidad Jaime I,Wikimedia España,Western Europe,Spain,Santiago Navarro,"Editor training, translation",Wikipedia,students,Higher Education,,Culture,"Translation, digital literacy, collaboration",,,,,https://es.wikipedia.org/wiki/Wikipedia:Proyecto_educativo/Aprendices_de_traducci%C3%B3n_con_la_Wikipedia,,,,,
,EABE 2017 - Wikipedia for educators workshop,"Introduction workshop for educators about Wikipedia in education as a dynamic repository of open knowledge and opportunities for capacity development, as well as other potential of Wikimedia projects in education",2017,2017,HackLab de Almería,Wikimedia España,Western Europe,Spain,Tomás Saorín,Awareness,Wikipedia,teachers,All,,,,,,,,https://blog.wikimedia.es/2017/05/eabe-2017-wikipedia-para-educadores-construir-liberar-colaborar/,,,,,
,Wikipedia como recurso para aprendizaje en el aula - Course,Basic introductory course of Wikipedia as a didactic resource in higher education.,Feb. 2016,Feb. 2016,Universidad de Zaragoza,Wikimedia España,Western Europe,Spain,Jesús Tramullas,"Awareness, editor training",Wikipedia,teachers,Higher Education,,,"Digital literacy, information literacy",,,,,https://blog.wikimedia.es/2016/02/curso-wikipedia-como-recurso-para-el-aprendizaje-en-el-aula-universitaria/,,,,,
,Shared Knowledge education program,"The goal is the students at the high schools,  primary schools and universities to familiar them self with the free encyclopedia Wikipedia and to help us in writing articles that they self tried to find information for on Macedonian language but there were none to use. In that way we provide information that the next generation of students will use. In the next period we will be filming videos for experiments in physics and chemistry that can be useful for all students around the world in simplifying the always so ""hard"" to study subjects. ",1/1/2007,,"Institute for chemistry, Institute for physics at the Faculty of natural sciences, Primary school ""Krume Kepeski"" Skopje, High school ""SUGS Josip Broz - Tito"", Faculty for Economics , primary school ""Gotse Delcev"" Negotino ",n/a,Southern Europe,Republic of Macedonia,Cvetko Nedelkovski,"Editor Training, WikiCamp, Translation, Partnerships","Wikipedia, Wikidata ","Students, Teachers","Secondary (Middle or High School), Higher Education","Mother language, Education policy, Gender","Math, Science","writing, information literacy, research","Wikimedia Foundation, Government finances ",https://meta.wikimedia.org/wiki/Grants:Simple/Applications/Shared_Knowledge/2019,https://meta.wikimedia.org/wiki/Shared_Knowledge/Projects/Education_Programme,https://meta.wikimedia.org/wiki/Shared_Knowledge/Projects/Wikiexperiments,no,,,,,
,Wikipedia School for adults in Athens,"Wikipedians Nursery for adults (Adult Education) in Kaisariani, Athens",5/15/2014,11/30/2018,"Municipality of Kaisariani, 2nd Gymnasium of Kaisariani",Wikipedia Community Schools Association Greece,Southern Europe,Greece,Manos Kefalas,"WikiClub, Editor Training","Wikipedia, Wikimedia Commons, Wikidata","Teachers, Senior Citizens, Wikimedians, Librarians",Lifelong learning,"Mother language, Inclusion",Personal interests of editors,"collaboration, writing, critical thinking, language",Wikimedia Foundation,"https://meta.wikimedia.org/wiki/Grants:PEG/Manos_Kefalas/Wikipedia_School_in_Athens,_Greece/Report","It was the first educational holistic approach that integrated editing Wikipedia with self-improvement as human beings, which reaches farther than knowledge and skills and aims at building positive life stances and attitudes.",no,https://www.news247.gr/weekend-edition/mpikame-sto-proto-elliniko-scholeio-tis-wikipedia.6406698.html,,,,,
,Forum Open Education ,"With the ""Forum Open Education"", the Free Education Alliance, the Open Knowledge Foundation and Wikimedia Deutschland want to advance the debate on contemporary teaching and learning, intensify the exchange between civil society, educational practice and political decision-making bodies and establish a continuous working relationship.

The Forum 2020 is already the third edition of the series of events launched in 2018. It has helped to promote the exchange between politics and the Open Education Community and to provide important impulses in education policy. ",6/1/2018,,"Open Knowledge Foundation, Free Education Alliance",Wikimedia Deutschland,Western Europe,Germany,Dominik Theis,Partnerships,none,"Teachers, Policy makers, Civil Society","Primary (K-5), Secondary (Middle or High School), Higher Education, Vocational, Lifelong learning","Education policy, OERs",,,Wikimedia Deutschland,"only in German, but lessons learned in the newsletter article!",no,"https://outreach.wikimedia.org/wiki/Education/News/August_2019/Together,_we_can_create_an_environment_that_promotes_Quality_Education",List in blog article: https://buendnis-freie-bildung.de/2019/07/04/so-geht-es-weiter-mit-offener-digitaler-bildung-in-deutschland/,,,,,
,Wikidata in Social Studies Classroom,"This is a educational project started at Dubai Schools . Students use wikidata, wikipedia, Commons etc as part of their learning activities. ",1/21/2020,2/29/2020,"Indian International School, Habitat Private School",N/A,Western Asia,United Arab Emirates ,Akbarali,"WikiClub, Editor Training, Teacher Training, Research, Translation, Photo expeditions","Wikidata, Wikipedia, Commons.wiki","Students, Teachers",Secondary (Middle or High School),"Mother language, Gender, Inclusion","Literature, History, Language","collaboration, digital literacy, communication, global citizenship, critical thinking, information literacy",None,No,No,https://www.wikidata.org/wiki/Wikidata:Events/Dubai/Wikidata_in_Social_Studies_Classroom,https://www.manoramaonline.com/global-malayali/gulf/2019/10/22/keralite-to-participate-in-wikidata-international-conference.html,,,,,
,Wikipedia Education Program,Enhancing students' translation and computer skills through an extracurricular activity which they can voluntarily join. ,1/1/2012,,Ain Shams University- Faculty of Al-Alsun (languages),n/a,Northern Africe,Egypt,Reem Al-Kashif,Translation,Arabic Wikipedia,"Students, Teachers",Higher Education,"Education policy, Gender, Inclusion","Math, Science, Literature, Art, Photography, History, Language","collaboration, digital literacy, writing, research, language",Wikimedia Foundation,no,no,,,,,,,
,Wikipedia in Classroom,Teaching Wikipedia and Wiktionary in university-level courses.,2/10/2018,,Ain Shams University-Faculty of Al-Alsun (languages),n/a,Northern Africe,Egypt,Reem Al-Kashif,"Editor Training, Research, Translation",Arabic Wikipedia & Arabic Wiktionary,Students,Higher Education,"Mother language, Education policy, Gender",Language,"collaboration, digital literacy, writing, critical thinking, research, language",None,no,,,,,,,,
,AUC Wiki Collaboration,A series of editathons held at the AUC in Egypt to train students and staff on Wikipedia and Wikidata.,11/1/2018,,American University in Cairo,n/a,Northern Africe,Egypt,Reem Al-Kashif,"Editor Training, Teacher Training",English Wikipedia and Wikidata,"Students, Teachers, Librarians",Higher Education,"Education policy, Inclusion","History, Language","digital literacy, critical thinking, research",None,,,,,,,,,
,Wikipedia Courses,Courses offered by a special unit at Ain Shams University to introduce people to Wikipedia. ,2/1/2020,,Ain Shams University-Faculty of Al-Alsun (languages) ,n/a,Northern Africe,Egypt,Reem Al-Kashif,"Editor Training, Translation",Arabic and English Wikipedia ,Students,Higher Education,"Mother language, Inclusion",Language,"collaboration, digital literacy, communication, writing, information literacy, language",None,,,,,,,,,
,Wiki Research,Completing scientific research on Wikipedia. ,5/1/2017,,Ain Shams University-Faculty of Al-Alsun (languages),Wikimedia Egypt,Northern Africe,Egypt,Reem Al-Kashif,Research,Arabic and English Wikipedia and Wikidata,researchers,Higher Education,Gender,Language,"critical thinking, research, language",None,,,,,,,,,
,Writing for Media,The project is part of the subject Writing for Media. Students learn how to edit in Wikipedia and put it into practice by writing articles in English Wikipedia.,9/1/2017,,IE University,Wikimedia España,Western Europe,Spain,Rubén Ojeda,Editor Training,Wikipedia,Students,Higher Education,,Communication,"collaboration, writing, research",None,No,No,No,No,,,,,
,Editando Wikipedia,"This project began in the 2007/2008 academic year. At first it was carried out with the students registered in the subject Communication Networks; Internet and Local Networks taught in the Audiovisual Communication Degree and later in the subject Computer Science of the Audiovisual Communication Degree of the University of Burgos. In addition to the students of these subjects, students from other degrees such as the Master's Degree in Communication and Multimedia Development or the Master's Degree in Communication and Heritage of the aforementioned university have also participated in the activities. ",9/1/2007,,University of Burgos,Wikimedia España,Western Europe,Spain,Rubén Ojeda,Editor Training,Wikipedia,Students,Higher Education,,Communication,"collaboration, writing, research",None,no,no,no,no,,,,,
,IES La Gándara,"Experience of educational innovation with secondary school students. The work is based on the review, correction and extension of Wikipedia articles.",9/1/2014,,IES La Gándara,Wikimedia España,Western Europe,Spain,Rubén Ojeda,Editor Training,"Wikipedia, Commons",Students,Secondary (Middle or High School),,History,"collaboration, writing, research",None,no,no,no,no,,,,,
,Historia del mundo actual y periodismo,"Editing activity within the framework of the subject History of the World Today, in the Faculty of Information Sciences of the Complutense University of Madrid. ",9/1/2016,6/1/2019,Complutense University of Madrid,Wikimedia España,Western Europe,Spain,Rubén Ojeda,Editor Training,Wikipedia,Students,Higher Education,,History,"collaboration, writing, research",None,no,no,no,no,,,,,
,Immunomedia,"Activity of the interuniversity project Immunomedia, with the realization of articles in Spanish (translation or creation or improvement) related to Human Immunology, Immunopathology and Immunotherapy. It is a group activity within the subject of Human Immunology at the University of Valladolid.",9/1/2017,,University of Valladolid,Wikimedia España,Western Europe,Spain,Rubén Ojeda,Editor Training,Wikipedia,Students,Higher Education,,Medicine,"collaboration, writing, research",None,no,no,no,no,,,,,
,Editando Wikipedia sobre temas de física aplicada,"Collaboration between the Department of Physical Electronics of the ETSI de Telecomunicación of the UPM of Madrid and Wikimedia España within the framework of a contemplated and regulated activity offered to first-year students. This editing activity has been carried out since 2009 and its objective is to expand and improve the content of articles related to Applied Physics, both in terms of concepts or writing and by generating images and animations that complement the texts.",9/1/2009,,Technical University of Madrid,Wikimedia España,Western Europe,Spain,Rubén Ojeda,Editor Training,"Wikipedia, Commons",Students,Higher Education,,Science,"collaboration, writing, research",None,no,no,no,no,,,,,
,Relaciones de Género y Ciencia,"Educational project carried out in the subject Gender Relations, Science, Technology and Society, at the University of Valencia. It is an optional subject that all students of any degree in the Tarongers Campus can take in any year of the degree. The signature has 6 credits and does not depend on any department, but on the Institut Universitari d'Estudis de la Dona. The project consists of the creation of articles by scientists in the student's specialty, and they are created in pairs.",9/1/2016,,University of Valencia,Wikimedia España,Western Europe,Spain,Rubén Ojeda,Editor Training,Wikipedia,Students,Higher Education,Gender,Science,"collaboration, writing, research",None,no,no,no,no,,,,,
,Wikitrad,Translating articles in different languages to different ones as an assigment.,9/1/2010,6/1/2019,Jaume I University,Wikimedia España,Western Europe,Spain,Rubén Ojeda,"Editor Training, Translation",Wikipedia,Students,Higher Education,,,"collaboration, writing, language",None,no,no,no,no,,,,,
,Wikitrad Valencia,Translating articles in different languages to different ones as an assigment.,9/1/2018,6/1/2019,University of Valencia,Wikimedia España,Western Europe,Spain,Rubén Ojeda,"Editor Training, Translation",Wikipedia,Students,Higher Education,,,"collaboration, writing, language",None,no,no,no,no,,,,,
,UCJC,Project with students in the first year of the Communication Degree in which they learned to edit Wikipedia and created or translated articles related to women scientists.,9/1/2018,,University Camilo José Cela,Wikimedia España,Western Europe,Spain,Rubén Ojeda,Editor Training,"Wikipedia, Commons",Students,Higher Education,,Communication,"collaboration, writing, research",None,no,no,no,no,,,,,
,ESNE,"Wikipedia editing activity within the fourth year of the Degree in Video Games, at the University School of Design, Innovation and Technology, in which they improved or translated content on video games, characters or companies.",9/1/2018,6/1/2019,"University School of Design, Innovation and Technology",Wikimedia España,Western Europe,Spain,Rubén Ojeda,Editor Training,Wikipedia,Students,Higher Education,,Video Games,"collaboration, writing, research",None,no,no,no,no,,,,,
,Cibercultura-Estudios franceses,Educational experience in which Philology students translated articles on French women writers from French to Spanish.,9/1/2017,,Complutense University of Madrid,Wikimedia España,Western Europe,Spain,Rubén Ojeda,"Editor Training, Translation",Wikipedia,Students,Higher Education,Gender,Literature,"collaboration, writing, language",None,no,no,no,no,,,,,
,Wikipunto,"Educational innovation project designed for the students of the Degree in Journalism of the King Juan Carlos University. The objective is to acquire digital, netiquette, information verification and creation and improvement of articles in Spanish Wikipedia. It has several simultaneous editions in several courses. ",9/1/2017,,Rey Juan Carlos University,Wikimedia España,Western Europe,Spain,Rubén Ojeda,Editor Training,"Wikipedia, Commons",Students,Higher Education,,,"collaboration, writing, research",None,no,no,no,no,,,,,
,Wikipunto,"Within the subject New Technologies and Information Society, for the degrees of Journalism, Political Science and Corporate Communication, students were asked to improve or create articles in Wikipedia, to adopt and promote the use of digital resources, learn about free licenses and learn to value the contribution to free knowledge.",9/1/2017,,Nebrija University,Wikimedia España,Western Europe,Spain,Rubén Ojeda,Editor Training,"Wikipedia, Commons",Students,Higher Education,,,"collaboration, writing, research",None,no,no,no,no,,,,,
,Viquiports,School and High school students improve content about the municipalities of the area.,9/1/2018,,IES Vilafranca,Wikimedia España,Western Europe,Spain,Rubén Ojeda,Editor Training,"Wikipedia, Commons",Students,Secondary (Middle or High School),,,"collaboration, writing, research",None,no,no,no,no,,,,,
,Patrimonio Cultural y Artístico,"Project of the Celtiberia adult education centre in Soria, in which its students from the course Artistic and Cultural Heritage of Soria elaborate throughout the academic year a Wikipedia article related to a heritage element of Soria.",9/1/2018,,CEPA Celtiberia,Wikimedia España,Western Europe,Spain,Rubén Ojeda,Editor Training,"Wikipedia, Commons",Senior Citizens,Adult education,,History,"collaboration, digital literacy, writing, research",None,no,no,no,no,,,,,
,Fundamentos tecnológicos del e-learning,"This subject is part of the Master's Degree in Education and ICTs developed by the Open University of Catalonia (UOC), whose aim is to make students aware of the latest trends and new technological elements in e-learning. They must also be able to evaluate the innovation, usefulness and potential of these through collaborative work. ",9/1/2017,,UOC,Wikimedia España,Western Europe,Spain,Rubén Ojeda,Editor Training,Wikipedia,Students,Higher Education,,Education,"collaboration, writing, research",None,no,no,no,no,,,,,
,Análisis sociológico desde una perspectiva de género,"This project is carried out in the subject Sociological Analysis from a Gender Perspective, in the Faculty of Social Sciences of the University of Valencia. This is a compulsory subject for second year students in the Sociology course; the completion of the project by students accounts for 40% of their final mark. The project consists of the creation of articles by scientists in the student's speciality, magazines and publications of a feminist nature, congresses and seminars on feminist themes, etc. and these are created individually.",9/1/2015,6/1/2018,University of Valencia,Wikimedia España,Western Europe,Spain,Rubén Ojeda,Editor Training,Wikipedia,Students,Higher Education,Gender,Sociology,"collaboration, writing, research",None,no,no,no,no,,,,,
,Traduciendo Wikipedia: El encargo real en el aula de Traducción,"In the subject General Translation I of language C of the Degree in Translation and Interpreting of the University of Murcia (Murcia, Spain), the students translate Wikipedia articles from German and English into Spanish.",9/1/2015,6/1/2018,University of Murcia,Wikimedia España,Western Europe,Spain,Rubén Ojeda,"Editor Training, Translation",Wikipedia,Students,Higher Education,,,"collaboration, writing, research, language",None,no,no,no,no,,,,,
,Matemáticas discreta y numérica,"Educational project of learning, in the subject Extension of Mathematics, in the degrees in Computer Engineering in Software Engineering and in Computer Engineering, taught at the Polytechnic School (UEX), with the purpose of working on topics of discrete and numerical mathematics in the Spanish Wikipedia.",9/1/2016,,University of Extremadura,Wikimedia España,Western Europe,Spain,Rubén Ojeda,Editor Training,Wikipedia,Students,Higher Education,,Math,"collaboration, writing, research",None,no,no,no,no,,,,,
,Información Cuántica y Aplicaciones,"Project for the creation of quantum information content, quantum computation and classical information as an activity of the Quantum Information and Applications course of the Physics degree of the University of Granada.",9/1/2017,6/1/2018,University of Granada,Wikimedia España,Western Europe,Spain,Rubén Ojeda,Editor Training,Wikipedia,Students,Higher Education,,Science,"collaboration, writing, research",None,no,no,no,no,,,,,
,Traduciendo Wikipedia,"Project inspired by the translation initiative of the University Jaume I. In this case, Translation and Interpretation students from the Soria campus translated Wikipedia articles from German to Spanish.",9/1/2017,6/1/2019,University of Valladolid,Wikimedia España,Western Europe,Spain,Rubén Ojeda,"Editor Training, Translation",Wikipedia,Students,Higher Education,,,"collaboration, writing, research, language",None,no,no,no,no,,,,,
,Pintura del siglo XIX,"Project as part of the Art History degree, in which students created or improved articles on 19th century painting.",9/1/2017,6/1/2018,University of Salamanca,Wikimedia España,Western Europe,Spain,Rubén Ojeda,Editor Training,Wikipedia,Students,Higher Education,,Art,"collaboration, writing, research",None,no,no,no,no,,,,,
,Editando Wikipedia sobre certificación de aeronaves,"The project is proposed within the subject Aerospace Vehicle Maintenance and Certification, taught in the Aerospace Engineering Degree of the University of Cadiz.",9/1/2016,6/1/2018,University of Cádiz,Wikimedia España,Western Europe,Spain,Rubén Ojeda,Editor Training,Wikipedia,Students,Higher Education,,Engineering,"collaboration, writing, research",None,no,no,no,no,,,,,
,CEIP Cervantes,Children of 4th year created an article about a scientific woman.,9/1/2017,6/1/2018,CEIP Cervantes,Wikimedia España,Western Europe,Spain,Rubén Ojeda,Editor Training,Wikipedia,Students,Primary (K-5),Gender,,"collaboration, digital literacy, writing, research",None,no,no,no,no,,,,,
,Mujeres y Ciencia,"Teaching Innovation Project developed by the University Pablo de Olavide in Seville, Spain, which aimed to improve the presence of women in Wikipedia. To this end, the students created or improved articles on illustrious women in the Spanish-speaking world, and then translated them into other languages.",9/1/2016,6/1/2017,Pablo de Olavide University,Wikimedia España,Western Europe,Spain,Rubén Ojeda,Editor Training,Wikipedia,Students,Higher Education,Gender,Science,"collaboration, writing, research",None,no,no,no,no,,,,,
,UCAC2,"Within the Degree in Advertising and Public Relations of the Faculty of Social Sciences and Communication (Campus of Jerez de la Frontera, University of Cadiz), students of the subject Multimedia Tools and Animation prepare models, 2D or 3D animations for Wikipedia articles and upload them to Commons. ",9/1/2012,6/1/2018,University of Cádiz,Wikimedia España,Western Europe,Spain,Rubén Ojeda,Editor Training,"Wikipedia, Commons",Students,Higher Education,,,"collaboration, writing, creativity, research",None,no,no,no,no,,,,,
,Licencias libres,Project to improve articles in Spanish about free software license. ,9/1/2015,6/1/2017,University of Cádiz,Wikimedia España,Western Europe,Spain,Rubén Ojeda,Editor Training,Wikipedia,Students,Higher Education,,Free licenses,"collaboration, writing, research",None,no,no,no,no,,,,,
,Cultura científica,Two classes of Scientific Culture of La Salle School in Santiago de Compostela worked on Spanish Wikipedia as a project of the subject. The students improved existing articles or created new articles from free and contrasting sources or by translating from other Wikipedias.,9/1/2016,,La Salle,Wikimedia España,Western Europe,Spain,Rubén Ojeda,Editor Training,Wikipedia,Students,Secondary (Middle or High School),,Science,"collaboration, digital literacy, writing, research",None,no,no,no,no,,,,,
,San Pedro Apóstol,"During the school year, the technology students improved and wrote Wikipedia articles under the supervision of their teacher and some wikipedians. ",9/1/2015,6/1/2017,San Pedro Apóstol,Wikimedia España,Western Europe,Spain,Rubén Ojeda,Editor Training,"Wikipedia, Commons",Students,Secondary (Middle or High School),,,"collaboration, writing, research",None,no,no,no,no,,,,,
,Biblioteca Reina Sofía,"Organization of training workshops on Wikipedia open to students, teachers and administrative staff. ",9/1/2013,6/1/2018,University of Valladolid,Wikimedia España,Western Europe,Spain,Rubén Ojeda,"Editor Training, Teacher Training","Wikipedia, Commons","Students, Teachers, Librarians",Higher Education,,,"collaboration, digital literacy, writing, research",None,no,no,no,no,,,,,
,WikiDoc,"Project to produce articles on Information Science, including concepts, methods, techniques and tools for application in information services such as libraries, archives and museums.",9/1/2016,,University of Zaragoza,Wikimedia España,Western Europe,Spain,Rubén Ojeda,Editor Training,Wikipedia,Students,Higher Education,,Information Science,"collaboration, writing, research",None,no,no,no,no,,,,,
,Hijas de Jesús Pamplona,"Academic project with the purpose of familiarization with the tools of creation of articles, academic research, elaboration of state of the art in specific topics and training with the management of citations and bibliographic references. ",9/1/2019,,Hijas de Jesús Pamplona,Wikimedia España,Western Europe,Spain,Rubén Ojeda,Editor Training,Wikipedia,Students,Secondary (Middle or High School),,Art,"collaboration, digital literacy, writing, research",None,no,no,no,no,,,,,
,Castellonada,Writing or improving articles and pictures about Castelló de la Plana.,9/1/2018,,Cefire Castellón,Wikimedia España,Western Europe,Spain,Rubén Ojeda,Editor Training,"Wikipedia, Commons",Teachers,,,,"collaboration, writing, research",None,no,no,no,no,,,,,
,Máster Universitario en Gestión de la Información,Writing or improving articles and pictures about the subject.,9/1/2015,6/1/2016,Technical University of Valencia,Wikimedia España,Western Europe,Spain,Rubén Ojeda,Editor Training,Wikipedia,Students,Higher Education,,Information management,"collaboration, writing, research",None,no,no,no,no,,,,,
,Wikidata Hackathon,Hackathon using Wikidata.,10/18/2018,10/19/2018,University of Alicante,Wikimedia España,Western Europe,Spain,Rubén Ojeda,Editor Training,Wikidata,Students,Higher Education,,,"collaboration, digital literacy, writing, research",None,no,no,no,no,,,,,
